GEOID,Name,Short Name,CSA,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
10100,"Aberdeen, SD","Aberdeen, SD",,42112,19901,2839.011,43.006,45.519435,-98.7007
10140,"Aberdeen, WA","Aberdeen, WA",,76397,36568,1902.268,321.335,47.112084,-123.826725
10180,"Abilene, TX","Abilene, TX",101,178244,75164,2743.515,14.191,32.452022,-99.718743
10220,"Ada, OK","Ada, OK",,38158,17483,720.353,4.913,34.721421,-96.691804
10300,"Adrian, MI","Adrian, MI",220,98823,43747,749.653,11.749,41.896022,-84.074356
10380,"Aguadilla, PR","Aguadilla, PR",364,252430,122332,297.061,136.833,18.391555,-67.097202
10420,"Akron, OH","Akron, OH",184,699508,318279,900.14,23.955,41.146639,-81.35011
10460,"Alamogordo, NM","Alamogordo, NM",,68235,32400,6612.562,14.264,32.615599,-105.751308
10480,"Alamosa, CO","Alamosa, CO",,27622,13624,3237.665,7.619,37.32264,-105.774242
10500,"Albany, GA","Albany, GA",,146768,67030,1591.049,17.775,31.644686,-84.110718
10540,"Albany, OR","Albany, OR",440,129794,52740,2289.508,19.362,44.488898,-122.537208
10580,"Albany-Schenectady-Troy, NY","Albany, NY",104,902372,420069,2811.817,66.408,42.78792,-73.942348
10620,"Albemarle, NC","Albemarle, NC",172,63557,28292,395.08,9.724,35.310449,-80.254374
10660,"Albert Lea, MN","Albert Lea, MN",,30752,14116,707.246,15.175,43.674202,-93.350289
10700,"Albertville, AL","Albertville, AL",290,98712,41531,565.854,57.327,34.309564,-86.321668
10740,"Albuquerque, NM","Albuquerque, NM",105,918567,398671,9283.369,12.31,35.123496,-106.458392
10760,"Alexander City, AL","Alexander City, AL",194,41070,22967,716.539,49.715,32.863308,-85.799618
10780,"Alexandria, LA","Alexandria, LA",,150593,67375,1967.83,58.502,31.325348,-92.546803
10820,"Alexandria, MN","Alexandria, MN",,39354,22087,636.882,83.296,45.936835,-95.462155
10860,"Alice, TX","Alice, TX",204,45850,20063,1808.531,3.654,27.359741,-98.157214
10900,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",106,866764,360133,1453.019,22.492,40.789339,-75.398158
10940,"Alma, MI","Alma, MI",394,41478,16051,568.382,3.23,43.292326,-84.60469
10980,"Alpena, MI","Alpena, MI",,28908,15674,571.899,1123.027,44.894954,-83.426574
11020,"Altoona, PA","Altoona, PA",107,121854,55788,525.067,1.272,40.498683,-78.309597
11060,"Altus, OK","Altus, OK",,24730,12046,802.653,1.589,34.594006,-99.412235
11100,"Amarillo, TX","Amarillo, TX",108,270207,114741,5150.993,32.785,35.247999,-101.90867
11140,"Americus, GA","Americus, GA",,33713,15484,649.786,10.649,32.098355,-84.224304
11180,"Ames, IA","Ames, IA",218,125261,53647,1143.006,4.274,42.036128,-93.698008
11200,"Amherst Town-Northampton, MA","Amherst Town, MA",521,156595,66490,527.236,18.002,42.33946,-72.663692
11220,"Amsterdam, NY","Amsterdam, NY",104,49461,22944,403.111,7.187,42.900891,-74.435357
11260,"Anchorage, AK","Anchorage, AK",,399746,170639,26413.917,798.25,62.212784,-149.678222
11360,"Anderson Creek, NC","Anderson Creek, NC",450,136503,54051,595.099,6.317,35.36866,-78.871665
11380,"Andrews, TX","Andrews, TX",372,18518,7063,1500.686,0.405,32.312258,-102.640206
11420,"Angola, IN","Angola, IN",258,34648,19055,308.79,13.676,41.643467,-85.002405
11460,"Ann Arbor, MI","Ann Arbor, MI",220,368394,158115,706.015,16.406,42.252217,-83.843423
11500,"Anniston-Oxford, AL","Anniston, AL",,116141,53271,605.894,6.381,33.770516,-85.827909
11540,"Appleton, WI","Appleton, WI",118,244163,102063,955.807,85.878,44.290603,-88.372326
11580,"Arcadia, FL","Arcadia, FL",412,34719,15713,636.695,2.411,27.190581,-81.806253
11620,"Ardmore, OK","Ardmore, OK",,48255,21619,822.301,11.48,34.251848,-97.287927
11640,"Arecibo, PR","Arecibo, PR",490,181380,83248,236.885,89.37,18.439224,-66.759981
11660,"Arkadelphia, AR","Arkadelphia, AR",,21378,10012,865.971,16.975,34.053316,-93.176208
11680,"Arkansas City-Winfield, KS","Arkansas City, KS",556,34487,15647,1125.738,6.688,37.234507,-96.837247
11700,"Asheville, NC","Asheville, NC",120,410817,200730,1479.054,7.465,35.61634,-82.570683
11740,"Ashland, OH","Ashland, OH",360,52296,22517,422.986,3.849,40.843272,-82.270126
11820,"Astoria, OR","Astoria, OR",,41343,23251,828.241,255.355,46.024509,-123.705037
11860,"Atchison, KS","Atchison, KS",312,16211,6811,431.174,2.645,39.532544,-95.313397
11900,"Athens, OH","Athens, OH",198,61573,26466,503.643,4.774,39.332755,-82.045885
11940,"Athens, TN","Athens, TN",174,67211,30191,625.252,23.583,35.451963,-84.682714
11980,"Athens, TX","Athens, TX",206,83658,41352,873.788,74.639,32.211633,-95.853418
12020,"Athens-Clarke County, GA","Athens, GA",122,218190,91118,1025.047,10.096,33.943984,-83.213897
12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",122,6176937,2462125,8784.09,148.299,33.732402,-84.392848
12100,"Atlantic City-Hammonton, NJ","Atlantic City, NJ",428,369940,231727,807.097,485.045,39.286186,-74.738311
12140,"Auburn, IN","Auburn, IN",258,43584,18280,362.834,1.026,41.39676,-85.002697
12180,"Auburn, NY","Auburn, NY",532,75464,36768,691.589,172.082,43.008546,-76.574587
12220,"Auburn-Opelika, AL","Auburn, AL",194,196614,87173,1216.223,12.835,32.492206,-85.527127
12260,"Augusta-Richmond County, GA-SC","Augusta, GA",,618022,268250,3480.721,101.285,33.460371,-81.982833
12300,"Augusta-Waterville, ME","Augusta, ME",,125614,63140,867.507,83.668,44.417012,-69.765764
12380,"Austin, MN","Austin, MN",462,40069,16963,711.273,0.238,43.666249,-92.759514
12420,"Austin-Round Rock-San Marcos, TX","Austin, TX",,2357497,1001295,4219.831,57.899,30.249744,-97.649842
12460,"Bainbridge, GA","Bainbridge, GA",533,29118,13106,597.239,25.929,30.880643,-84.58389
12520,"Baker City, OR","Baker City, OR",,16796,8687,3067.967,20.012,44.703427,-117.691933
12540,"Bakersfield-Delano, CA","Bakersfield, CA",,910433,304481,8134.673,30.244,35.346629,-118.729506
12580,"Baltimore-Columbia-Towson, MD","Baltimore, MD",548,2839409,1195538,2601.472,503.546,39.304361,-76.549501
12620,"Bangor, ME","Bangor, ME",,153571,75405,3397.185,159.852,45.409284,-68.666616
12660,"Baraboo, WI","Baraboo, WI",357,65759,31091,831.587,17.598,43.428001,-89.943318
12700,"Barnstable Town, MA","Barnstable Town, MA",148,230073,165661,394.185,911.356,41.706123,-70.164823
12740,"Barre, VT","Barre, VT",162,59958,30860,687.06,8.308,44.274969,-72.609444
12780,"Bartlesville, OK","Bartlesville, OK",538,52895,23745,415.524,8.831,36.704403,-95.906253
12860,"Batavia, NY","Batavia, NY",464,57943,26090,492.976,2.369,43.00091,-78.192778
12900,"Batesville, AR","Batesville, AR",,38120,16740,763.712,7.819,35.737499,-91.559942
12940,"Baton Rouge, LA","Baton Rouge, LA",132,871379,380325,4367.809,204.967,30.515242,-91.126926
12980,"Battle Creek, MI","Battle Creek, MI",310,133846,59626,706.259,12.069,42.24299,-85.012385
13020,"Bay City, MI","Bay City, MI",474,103235,48620,442.41,188.307,43.699711,-83.978701
13060,"Bay City, TX","Bay City, TX",288,36274,18871,1093.131,519.381,28.77476,-96.001532
13100,"Beatrice, NE","Beatrice, NE",339,21646,10390,851.468,8.492,40.255234,-96.683453
13140,"Beaumont-Port Arthur, TX","Beaumont, TX",,396058,171718,2101.112,288.621,30.075928,-94.202705
13180,"Beaver Dam, WI","Beaver Dam, WI",376,88818,38290,875.699,31.402,43.429628,-88.701939
13220,"Beckley, WV","Beckley, WV",,113653,53771,1266.927,10.756,37.905659,-81.163748
13260,"Bedford, IN","Bedford, IN",144,45077,20530,449.146,2.783,38.839815,-86.48782
13300,"Beeville, TX","Beeville, TX",,31000,10607,880.239,0.095,28.416077,-97.742586
13340,"Bellefontaine, OH","Bellefontaine, OH",198,46140,23797,458.508,8.335,40.387553,-83.766343
13380,"Bellingham, WA","Bellingham, WA",,228432,101928,2107.928,396.947,48.842653,-121.836432
13420,"Bemidji, MN","Bemidji, MN",,46421,21583,2504.643,550.487,47.879508,-95.00505
13460,"Bend, OR","Bend, OR",,253650,119043,7778.238,54.802,44.153837,-120.887072
13540,"Bennington, VT","Bennington, VT",,37312,20877,674.237,2.663,43.035328,-73.111496
13660,"Big Rapids, MI","Big Rapids, MI",266,40321,21045,555.157,16.085,43.635295,-85.332751
13700,"Big Spring, TX","Big Spring, TX",,33127,13999,900.79,3.416,32.30343,-101.438721
13740,"Billings, MT","Billings, MT",,187269,84451,6477.824,38.391,45.63714,-108.832361
13780,"Binghamton, NY","Binghamton, NY",,245844,114855,1224.417,13.947,42.163928,-76.022943
13820,"Birmingham, AL","Birmingham, AL",142,1181432,522829,5279.905,89.867,33.462372,-86.814338
13860,"Bishop, CA","Bishop, CA",,18803,9500,10197.261,29.838,36.56216,-117.404209
13900,"Bismarck, ND","Bismarck, ND",,134286,59633,4280.986,63.745,46.887031,-100.979592
13940,"Blackfoot, ID","Blackfoot, ID",292,48993,17268,2093.732,26.499,43.216357,-112.399206
13980,"Blacksburg-Christiansburg-Radford, VA","Blacksburg, VA",,181605,81987,1454.512,17.542,37.121364,-80.531517
14010,"Bloomington, IL","Bloomington, IL",145,170882,75120,1183.248,3.013,40.494559,-88.844539
14020,"Bloomington, IN","Bloomington, IN",144,161256,74718,779.818,19.335,39.241736,-86.671754
14100,"Bloomsburg-Berwick, PA","Bloomsburg, PA",146,65055,29775,483.259,7.172,41.045517,-76.40426
14140,"Bluefield, WV-VA","Bluefield, WV",,98995,49162,937.753,2.843,37.248463,-81.359375
14180,"Blytheville, AR","Blytheville, AR",,39749,19126,902.093,27.886,35.766944,-90.052207
14220,"Bogalusa, LA","Bogalusa, LA",406,45238,21422,669.637,6.232,30.852144,-90.046253
14260,"Boise City, ID","Boise City, ID",147,790640,308834,11766.645,65.973,43.006648,-116.141909
14300,"Bonham, TX","Bonham, TX",206,36525,14743,877.939,20.945,33.591161,-96.104988
14380,"Boone, NC","Boone, NC",,54607,33028,312.44,0.877,36.235368,-81.709888
14420,"Borger, TX","Borger, TX",108,20413,10175,887.437,7.516,35.837047,-101.362746
14460,"Boston-Cambridge-Newton, MA-NH","Boston, MA",148,4917661,2046121,3486.333,1024.808,42.517606,-71.021993
14500,"Boulder, CO","Boulder, CO",216,328317,142809,726.416,14.055,40.094971,-105.39771
14540,"Bowling Green, KY","Bowling Green, KY",150,183194,79695,1614.385,24.521,37.046804,-86.397398
14580,"Bozeman, MT","Bozeman, MT",,122194,55589,2605.354,28.421,45.518054,-111.163921
14620,"Bradford, PA","Bradford, PA",,40149,19493,979.694,5.032,41.81459,-78.572463
14660,"Brainerd, MN","Brainerd, MN",,97801,66485,3019.936,550.684,46.767291,-94.223862
14700,"Branson, MO","Branson, MO",,56382,29875,632.263,19.344,36.649827,-93.042819
14710,"Brattleboro, VT","Brattleboro, VT",313,45913,30104,785.959,12.709,42.995304,-72.721877
14720,"Breckenridge, CO","Breckenridge, CO",,38268,35882,985.247,17.924,39.475301,-106.201587
14740,"Bremerton-Silverdale-Port Orchard, WA","Bremerton, WA",500,276581,115329,395.087,170.744,47.639687,-122.649636
14780,"Brenham, TX","Brenham, TX",288,36156,17371,604.196,17.555,30.215075,-96.410272
14820,"Brevard, NC","Brevard, NC",120,33243,19147,378.365,1.959,35.210099,-82.81666
14860,"Bridgeport-Stamford-Danbury, CT","Bridgeport, CT",408,947528,375786,672.34,213.85,41.252442,-73.393267
14940,"Brigham City, UT-ID","Brigham City, UT",482,64406,22342,6980.255,949.485,41.622623,-113.060252
15020,"Brookhaven, MS","Brookhaven, MS",298,34830,15885,586.207,2.043,31.535216,-90.453566
15060,"Brookings, OR","Brookings, OR",152,23463,13123,1628.395,360.844,42.466439,-124.210929
15100,"Brookings, SD","Brookings, SD",,34968,15025,792.217,12.719,44.376675,-96.797797
15180,"Brownsville-Harlingen, TX","Brownsville, TX",154,423192,157565,891.721,387.965,26.102923,-97.478958
15220,"Brownwood, TX","Brownwood, TX",,38294,19087,944.452,12.5,31.764137,-98.998456
15260,"Brunswick-St. Simons, GA","Brunswick, GA",,114345,57961,1294.21,312.202,31.301739,-81.588909
15340,"Bucyrus, OH","Bucyrus, OH",360,41767,19844,401.786,0.911,40.848524,-82.924783
15380,"Buffalo-Cheektowaga, NY","Buffalo, NY",160,1161385,540322,1565.111,801.412,43.044371,-78.777335
15420,"Burley, ID","Burley, ID",,47087,17470,3322.836,20.266,42.369199,-113.642424
15460,"Burlington, IA-IL","Burlington, IA",161,44881,22152,794.922,30.08,40.863823,-91.069976
15500,"Burlington, NC","Burlington, NC",268,174286,75456,423.465,10.775,36.043954,-79.400573
15540,"Burlington-South Burlington, VT","Burlington, VT",162,226603,102176,1249.602,253.523,44.689115,-73.041175
15580,"Butte-Silver Bow, MT","Butte, MT",,35589,17396,717.99,0.579,45.896232,-112.660071
15620,"Cadillac, MI","Cadillac, MI",,49024,25208,1129.719,19.597,44.328738,-85.326429
15660,"Calhoun, GA","Calhoun, GA",122,58336,23210,356.457,2.213,34.509667,-84.873862
15700,"Cambridge, MD","Cambridge, MD",548,32612,16416,540.765,442.223,38.429196,-76.047433
15740,"Cambridge, OH","Cambridge, OH",198,38283,19024,522.242,6.049,40.056665,-81.497875
