GEOID,Name,Primary County,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
00037,"Abbeville, LA Urban Cluster",22113,19824,8460,29189594,298416,29.967156,-92.095966
00064,"Abbeville, SC Urban Cluster",45001,5243,2578,11271121,19786,34.179273,-82.379776
00091,"Abbotsford, WI Urban Cluster",55019,3966,1616,5394605,13221,44.948612,-90.315875
00118,"Aberdeen, MS Urban Cluster",28095,4666,2050,7416339,52820,33.824742,-88.554591
00145,"Aberdeen, SD Urban Cluster",46013,25977,12114,33035011,120864,45.463186,-98.471033
00172,"Aberdeen, WA Urban Cluster",53027,29856,13139,40024137,1932719,46.976365,-123.796056
00199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",24025,213751,83721,339739357,9827161,39.50893,-76.303492
00226,"Abernathy, TX Urban Cluster",48189,2785,1124,3051035,12572,33.830523,-101.846278
00253,"Abilene, KS Urban Cluster",20041,7054,3238,8744553,1877,38.921855,-97.220768
00280,"Abilene, TX Urbanized Area",48441,110421,46732,141784244,1002809,32.428784,-99.747194
00334,"Abingdon, IL Urban Cluster",17095,3389,1483,3739878,0,40.804173,-90.401517
00388,"Ada, OH Urban Cluster",39065,5945,1906,4755113,0,40.767231,-83.82466
00415,"Ada, OK Urban Cluster",40123,17400,8086,30913554,89141,34.774803,-96.669103
00450,"Adams, NY Urban Cluster",36045,2542,1100,5100412,13914,43.808664,-76.021178
00469,"Adel, GA Urban Cluster",13075,6986,2990,15745461,149881,31.145731,-83.429099
00496,"Adel, IA Urban Cluster",19049,3170,1317,4596496,0,41.612188,-94.021031
00550,"Adjuntas, PR Urban Cluster",72001,11122,4637,20440782,156184,18.166604,-66.729934
00577,"Adrian, MI Urban Cluster",26091,44823,18178,62195867,614875,41.909568,-84.031176
00604,"Agat, GU Urban Cluster",66010,10093,3133,12701668,2939,13.39108,144.669527
00631,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area",72005,306196,138431,619742638,894872,18.370709,-67.040996
00658,"Ahoskie, NC Urban Cluster",37091,4951,2267,7548519,0,36.287867,-76.983286
00676,"Air Force Academy, CO Urban Cluster",08041,5512,326,6458865,0,38.985935,-104.858324
00712,"Ajo, AZ Urban Cluster",04019,3076,2006,6916368,0,32.388725,-112.868897
00739,"Akron, NY Urban Cluster",36029,2982,1426,6779977,0,43.020471,-78.493346
00766,"Akron, OH Urbanized Area",39153,569499,257659,842815514,17431799,41.066225,-81.491897
00793,"Alachua, FL Urban Cluster",12001,4114,1816,9777104,31222,29.791157,-82.507967
00820,"Alamogordo, NM Urban Cluster",35035,31862,14793,42964761,52140,32.902624,-105.949622
00847,"Alamosa, CO Urban Cluster",08003,9751,4057,18820657,39885,37.459931,-105.872135
00901,"Albany, GA Urbanized Area",13095,95779,40430,183459979,2790604,31.591097,-84.168827
00921,"Albany, MN Urban Cluster",27145,2564,1070,4338914,285660,45.630888,-94.569355
00955,"Albany, OR Urbanized Area",41043,56997,23542,61948340,288649,44.630088,-123.090049
00970,"Albany--Schenectady, NY Urbanized Area",36001,594962,266370,765902446,16203162,42.743895,-73.799436
00982,"Albemarle, NC Urban Cluster",37167,16823,7929,44466745,63396,35.369088,-80.196358
01009,"Albert Lea, MN Urban Cluster",27047,17868,8343,25489329,1395987,43.654568,-93.373855
01036,"Albertville, AL Urban Cluster",01095,36815,14980,92828321,5174684,34.268058,-86.22354
01063,"Albia, IA Urban Cluster",19135,3573,1660,5610339,0,41.027014,-92.8052
01090,"Albion, MI Urban Cluster",26025,9219,3809,17101887,135558,42.252722,-84.75533
01117,"Albion, NY Urban Cluster",36073,8171,2780,7638315,0,43.245788,-78.193603
01144,"Albion, PA Urban Cluster",42049,4574,1048,7434019,56074,41.890344,-80.355166
01171,"Albuquerque, NM Urbanized Area",35001,741318,314851,650723346,8154677,35.143367,-106.628138
01198,"Alderson, WV Urban Cluster",54089,2632,789,3437394,107288,37.727925,-80.649268
01225,"Aledo, IL Urban Cluster",17131,3655,1684,5738644,30085,41.198542,-90.745194
01232,"Aledo, TX Urban Cluster",48367,4854,1620,12139191,163278,32.680976,-97.647149
01252,"Alexander City, AL Urban Cluster",01123,9400,4326,25156220,65442,32.939703,-85.958004
01279,"Alexandria, LA Urbanized Area",22079,82804,33935,169611448,904519,31.462848,-92.422992
01306,"Alexandria, MN Urban Cluster",27041,16983,8604,38396127,7476290,45.900999,-95.3683
01333,"Alfred, NY Urban Cluster",36003,4322,659,3117022,0,42.256634,-77.784266
01360,"Algoma, WI Urban Cluster",55061,3070,1655,4746973,106289,44.607208,-87.444363
01387,"Algona, IA Urban Cluster",19109,5340,2618,6887318,16085,43.072716,-94.228677
01414,"Alice, TX Urban Cluster",48249,20974,8017,28171291,0,27.7524,-98.075031
01441,"Allegan, MI Urban Cluster",26005,6322,2821,12209395,147540,42.530023,-85.849978
01468,"Allendale, SC Urban Cluster",45005,3307,1567,5948733,0,33.008841,-81.311258
01495,"Allentown, PA--NJ Urbanized Area",42077,664651,271233,896591063,10687923,40.651207,-75.441903
01522,"Alliance, NE Urban Cluster",31013,8486,4073,12077338,31691,42.100596,-102.87402
01549,"Alliance, OH Urban Cluster",39151,32533,14786,45952624,276796,40.914526,-81.09674
01603,"Alma, GA Urban Cluster",13005,3408,1427,7409524,263250,31.541885,-82.469694
01630,"Alma--St. Louis, MI Urban Cluster",26057,16924,5477,19248680,401864,43.390674,-84.641499
01657,"Almont, MI Urban Cluster",26087,2719,1131,3627338,0,42.920939,-83.043475
